mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,genre
-113.619385,121.55303,-19.151056,42.345768,-6.3711677,18.613033,-13.69206,15.339378,-12.283617,10.973776,-8.32241,8.8067875,-3.665802,blues
-207.58151,123.99715,8.939115,35.870758,2.9199703,21.518787,-8.555368,23.355938,-10.101037,11.906445,-5.5581226,5.3759418,-2.237833,blues
-90.776344,140.44861,-29.10056,31.68734,-13.975971,25.741686,-13.644712,11.623112,-11.77592,9.700466,-13.115349,5.785763,-8.899733,blues
-199.462,150.09473,5.649167,26.870144,1.7554408,14.236881,-4.8288727,9.297849,-0.753142,8.147393,-3.1952357,6.085354,-2.4761882,blues
-160.29185,126.19577,-35.6025,22.151169,-32.48764,10.862022,-23.357162,0.50052303,-11.8047695,1.2038774,-13.085074,-2.8098488,-6.935621,blues
-177.88876,118.18953,-17.55073,30.753101,-21.732107,11.898545,-20.73228,3.176169,-8.57577,-0.94018424,-11.773799,-2.426076,-9.342487,blues
-190.17502,130.29242,-36.348473,33.02909,11.085681,-0.5963726,-20.882357,0.27711603,-6.5008707,-5.515623,-7.8452897,-3.123599,-6.595716,blues
-179.42007,136.4421,-26.644339,39.97959,5.3018146,10.921237,-20.555347,8.507477,-11.35436,-3.469098,-8.414114,-6.956976,-3.548349,blues
-121.387115,122.505394,-14.739394,46.135292,-8.160384,20.17051,-19.169321,23.050188,-11.825939,21.17341,-6.7202907,7.0050187,-12.739909,blues
-213.20453,115.15454,-11.720503,39.032555,-20.357819,13.089926,-9.180816,9.023639,-14.101023,4.283337,-6.044196,3.786368,0.22368751,blues
-173.71587,137.14024,-23.767647,26.99174,-16.687662,4.2143745,-12.582618,5.8545594,-2.8846726,-1.1866812,-1.9771539,1.8001548,-3.0044112,blues
-287.92355,123.97102,5.4561224,33.684544,1.0892011,14.704721,-4.898606,8.6532755,0.7827977,6.5667357,-4.87944,-3.1806588,-5.557003,blues
-207.20874,132.79709,-15.460706,60.99486,0.710241,12.461279,1.1609277,-1.5278945,-17.901815,8.369234,-2.4538186,-0.5966888,0.3688164,blues
-209.7822,124.46592,10.285805,47.030174,6.4823856,15.417021,-2.0100777,6.735786,-21.54862,10.7284975,-5.532432,-2.2020378,-3.0517268,blues
-305.69858,113.041626,12.114901,45.039444,17.739239,14.59463,4.1571283,0.24009813,-7.013088,13.649845,8.923058,1.30169,5.952128,blues
-238.53304,120.08829,-4.224556,42.310043,5.9163294,13.914182,5.3575773,1.9037086,-16.92988,12.339311,3.9409604,-1.3906769,0.014792109,blues
-233.79489,120.66705,-3.1675608,39.53927,3.8588552,18.839672,-3.6889172,4.431845,-14.975374,17.571035,1.8447447,2.538607,-1.2386857,blues
-245.7541,140.48093,-2.771439,60.42012,18.9254,9.837099,3.566577,0.5361876,-16.367361,6.6298547,7.269149,-4.01573,1.6074535,blues
-252.51877,104.93698,15.31683,42.673477,6.7626176,21.623577,-1.3132769,5.691932,-16.619516,12.161626,-1.96795,1.9697651,-0.88895833,blues
-236.6889,138.40428,-4.9235754,47.647713,5.152376,8.895284,0.48285615,-3.801668,-14.974891,10.432587,-0.35396186,0.78834563,1.7829305,blues
-230.42657,127.100525,7.145355,39.784317,1.9449425,17.40534,-5.639429,8.25213,-18.104383,13.842513,-3.760913,2.5718598,-4.3208055,blues
-264.67847,138.85834,11.156023,48.538254,14.895925,20.584368,3.205142,1.262588,-15.847021,15.986576,3.3616717,-1.5137409,1.892155,blues
-233.85751,136.17209,3.2713182,48.931213,8.685134,13.97951,5.3548675,0.39087018,-13.504575,16.856106,5.130938,-2.2318802,3.9640331,blues
-227.26886,137.7307,-14.493466,63.555702,5.612641,11.98464,1.885552,-1.8633765,-7.6205554,-2.4471745,-2.8867247,-9.429529,-10.923913,blues
-274.31186,130.41371,-6.3928003,70.405014,13.269141,9.461284,7.7256403,-1.2474906,-0.5775883,-2.3025885,3.783147,0.08482328,-0.93943614,blues
-249.2894,130.98703,0.67739,66.68578,17.897806,4.623737,6.5983086,1.24905,1.4163893,-1.579142,-0.9626631,-3.5719955,-2.9279814,blues
-284.69736,108.8052,9.088283,51.22274,18.091757,7.612261,8.779499,2.362829,0.005786057,2.2509663,4.2050996,-3.293317,1.6082983,blues
-228.25066,130.3444,-23.29129,70.1721,1.1422709,7.6024475,0.90993816,1.9782512,-6.167008,-9.396024,-2.5628407,-4.5228944,-0.26295036,blues
-248.98674,139.0672,-16.2825,57.117985,20.192654,10.188038,4.5439763,0.3312791,-7.8779507,-3.4479153,-2.646489,-2.8313823,-0.9021666,blues
-233.75082,101.178276,17.649765,23.733782,2.0820305,25.941927,-16.958853,15.098037,-22.278717,4.3951244,-23.207405,-6.057174,-5.068858,blues
-206.96808,117.792984,23.23588,28.297827,-1.1239153,18.862036,-21.949682,17.849985,-25.585644,2.1299253,-17.794416,-8.015903,-17.607277,blues
-221.83113,110.83949,18.616821,30.920137,3.295923,22.587362,-20.416351,12.118737,-26.350498,-4.367485,-26.413198,-13.045098,-12.654766,blues
-288.8077,105.89604,18.777039,23.710392,5.711881,25.549088,-13.47376,12.428973,-11.942033,1.5714257,-15.635912,-6.6506157,-11.713253,blues
-239.03807,108.65722,34.15189,30.23917,-0.47574344,27.292637,-21.379398,14.150509,-24.510178,-1.8840464,-28.050291,-11.25665,-16.47693,blues
-217.23868,105.792366,15.617071,25.256382,-1.4402742,30.18982,-17.71522,17.318172,-27.209526,4.339167,-20.059492,-10.695945,-14.220667,blues
-171.8102,120.280624,15.327534,21.090452,-5.419299,24.189468,-24.138222,18.551985,-22.348906,1.3031795,-20.763931,-4.9888506,-17.118929,blues
-200.19609,116.34013,18.00621,25.313564,0.29173443,24.192476,-22.255907,11.186425,-26.848732,-7.6384597,-24.889929,-12.015525,-17.017954,blues
-328.68088,102.71113,19.895552,26.732681,7.151481,22.704802,-6.9743266,12.781994,-10.7257805,-0.4336611,-12.373165,-8.907053,-9.2401085,blues
-192.69382,111.18816,21.37331,26.392143,-0.6483752,23.48088,-25.470795,16.924429,-16.979984,5.79015,-25.725246,-5.045352,-17.632244,blues
-301.70715,111.53472,21.896408,16.14818,8.19624,22.085075,-8.614954,1.4815573,-17.084373,-8.345809,-17.013063,-10.57562,-15.689096,blues
-110.284325,90.705605,-2.5283113,74.052734,-11.746768,39.214577,-13.1743,20.531588,-17.167608,12.827254,-21.434446,5.952132,-8.032604,blues
-107.18975,88.47057,-4.177788,55.48549,-8.01038,38.416542,-6.402575,28.576523,-19.820787,13.252739,-19.239794,12.076225,-4.583088,blues
-159.56772,69.78482,-4.39188,76.851135,3.9159086,45.167534,-4.867353,32.200516,-9.796341,7.812512,-21.826967,9.68244,-2.5915892,blues
